,Title,Budget,Movie ID,Revenue
0,Norm of the North: King Sized Adventure,0,601131,1442504
1,Jandino: Whatever it Takes,0,415722,0
2,Transformers Prime Beast Hunters: Predacons Rising,0,268092,0
3,#realityhigh,0,NaN,0
4,Apaches,0,NaN,0
5,Apaches,0,164337,0
6,Automata,7000000,262543,0
7,Fabrizio Copano: solo pienso en mí,0,474590,0
8,Good People,0,NaN,0
9,Good People,0,262338,0
10,Joaquín Reyes: Una y no más,0,474599,0
11,Kidnapping Mr. Heineken,0,228968,2633527
12,Krish Trish and Baltiboy: Battle of Wits,0,NaN,0
13,Krish Trish and Baltiboy: Best Friends Forever,0,NaN,0
14,Krish Trish and Baltiboy: Comics of India,0,NaN,0
15,Krish Trish and Baltiboy: Oversmartness Never Pays,0,NaN,0
16,Krish Trish and Baltiboy: Part II,0,NaN,0
17,Krish Trish and Baltiboy: The Greatest Trick,0,NaN,0
18,Love,0,NaN,0
19,Love and Monsters,30000000,590223,0
20,Manhattan Romance,0,302323,0
21,Moonwalkers,0,272548,0
22,Rolling Papers,0,324300,0
23,Stonehearst Asylum,0,207933,0
24,The Runner,6000000,277546,0
25,6 Years,0,323674,0
26,City of Joy,0,NaN,0
27,City of Joy,27000000,47821,14683921
28,First and Last,0,59131,0
29,Laddaland,0,64215,0
30,Next Gen,22000000,523777,0
31,Sierra Burgess Is a Loser,0,462919,0
32,The Most Assassinated Woman in the World,0,478100,0
33,Cezanne and I,0,382509,0
34,Article 15,0,NaN,0
35,Article 15,0,597089,0
36,C/o Kancharapalem,0,544795,0
37,Ee Nagaraniki Emaindi,0,532789,0
38,The Spy,0,NaN,0
39,The Spy Next Door,28000000,23172,45236543
40,Hell & Back,0,336313,157768
41,PK.COM.CN,0,382036,0
42,Hard Tide,0,395235,0
43,Elstree 1976,370000,322506,0
44,American Factory: A Short Conversation with the Obamas,0,628756,0
45,ATM,3000000,89691,3010
46,Bangkok Traffic Love Story,0,72733,0
47,I Fine..Thank You..Love You,0,332506,0
48,One Day,15000000,51828,59389433
49,Phobia 2,0,37963,5030049
50,Shutter Island,80000000,11324,294804195
